Month,FPI_Equity (USD_MN),FPI_Debt (USD_MN),FPI_Hybrid (USD_MN),FPI_Equity (INR_Crore),FPI_Debt (INR_Crore),FPI_Hybrid (INR_Crore),MF_Equity (INR_Crore),MF_Debt (INR_Crore),usd_inr,MF_Equity (USD_MN),MF_Debt (USD_MN)
10/01/2024,-198.52,-23.33,1.25,"-1,650.78",-194.07,10.43,-729.63,-9.98,8.315434213,-87.74406499,-1.200177855
09/01/2024,-64.61,173.41,0.37,-537.06,1441.59,3.05,"3,240.18","-5,144.01",8.312335552,389.8038018,-618.8405134
08/01/2024,34.31,11.71,-1.44,285.00,97.22,-11.96,"5,947.15",-155.67,8.306616147,715.9533912,-18.74048316
05/01/2024,212.69,200.19,-1.01,"1,769.05",1665.1,-8.39,"4,052.23","-2,791.36",8.317504349,487.1930125,-335.6006661
04/01/2024,166.77,87.57,1.59,1389.2,729.47,13.22,-567.64,-2888.15,8.330035378,-68.14376821,-346.7152142
03/01/2024,-68.59,104.07,-0.77,-571.52,867.18,-6.39,-600.07,-3334.95,8.332409972,-72.01637965,-400.2383477
02/01/2024,191.39,113.96,-1.16,1594.76,949.68,-9.63,1891.71,-899.99,8.33251476,227.0275006,-108.0094096
01/01/2024,30.44,10.4,1.17,253.24,86.53,9.72,1351.29,2103.24,8.319316689,162.4280035,252.8140325
29/12/2023,253.58,164.33,-11.35,2107.64,1365.84,-94.34,2231.32,796.77,8.311538765,268.4605177,95.86311543
28/12/2023,679.7,105.42,-3.59,5656.82,877.38,-29.86,-101.46,986,8.322524643,-12.19101226,118.4736654
27/12/2023,384.43,73.98,-0.2,3203.24,616.41,-1.67,802.56,825.82,8.332440236,96.31752251,99.10902168
26/12/2023,64.62,-117.48,2.57,537.51,-977.05,21.41,-2885.37,-861.25,8.318012999,-346.882122,-103.5403527
22/12/2023,-69.19,269.06,-0.3,-576.06,2239.93,-2.46,"-1,353.11",125.34,8.32576962,-162.5207112,15.05446412
21/12/2023,-157.45,54.44,0.3,-1311.16,453.34,2.48,-402.44,1600.18,8.327469038,-48.32680832,192.1568237
20/12/2023,241.4,18.76,485.03,2007.33,155.93,4033.1,-1324.36,"1,861.78",8.315368683,-159.2665401,223.8962662
19/12/2023,223.61,150.51,0.36,1859.92,"1,251.90",3.02,888.72,-102.59,8.317695989,106.8468962,-12.33394442
18/12/2023,215.19,259.72,0.92,1786.51,2156.17,7.64,1395.3,-142.99,8.302012175,168.067689,-17.22353533
15/12/2023,1230.73,311.55,10.4,"10,237.19",2591.55,86.52,-2576.9,"-1,571.01",8.317982011,-309.7986984,-188.8691269
14/12/2023,416.77,185.28,-1.23,3473.78,"1,544.33",-10.24,-37.14,"-1,401.29",8.335004919,-4.455906189,-168.1210766
