Month,Main_Category,Sub_Category,Scheme_Type,No_scheme,No_Folios,Funds_Mobilised_YTD,Redemptions_YTD,Net_Inflow_YTD,Net_AUM,Average_AUM,No_Folios_segregated,AUM_segregated_folio,Upload_Date
29-02-2020,Interval Schemes,Interval Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,19-04-2024
29-02-2020,Interval Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,19-04-2024
29-02-2020,Interval Schemes,Interval Schemes,Income/Debt Oriented Schemes,23.00,"3,938.00",9.01,"1,692.77","-1,683.76",432.59,"1,040.45",,,19-04-2024
29-02-2020,Close ended Schemes,Growth/Equity Oriented Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,19-04-2024
29-02-2020,Close ended Schemes,Growth/Equity Oriented Schemes,Others,90.00,"12,43,396.00",0.00,"1,642.18","-1,642.18","27,614.35","29,306.00",,,19-04-2024
29-02-2020,Close ended Schemes,Growth/Equity Oriented Schemes,ELSS,25.00,"4,71,720.00",0.00,310.38,"-,310.38","4,156.62","4,399.15",,,19-04-2024
29-02-2020,Close ended Schemes,Income/Debt Oriented Schemes,Other Debt,33.00,"83,390.00",0.00,"2,605.93","-2,605.93","3,507.80","3,674.85",,,19-04-2024
29-02-2020,Close ended Schemes,Income/Debt Oriented Schemes,Capital Protection Oriented  Schemes,30.00,"1,17,903.00",443.29,"2,296.69","-1,853.41","4,646.64","4,730.03",,,19-04-2024
29-02-2020,Close ended Schemes,Income/Debt Oriented Schemes,Fixed Term Plan,739.00,"8,52,511.00","3,342.61","32,570.27","-,29,227.65","1,40,310.25","1,40,166.72",,,19-04-2024
29-02-2020,Open ended Schemes,Other Schemes,Fund of funds investing overseas,27.00,"1,74,580.00","1,092.85",419.19,673.66,"2,724.11","2,911.16",,,19-04-2024
29-02-2020,Open ended Schemes,Other Schemes,Other ETFs,76.00,"17,66,536.00","1,09,468.07","54,493.55","54,974.52","1,80,707.28","1,87,103.85",,,19-04-2024
29-02-2020,Close ended Schemes,Income/Debt Oriented Schemes,Infrastructure Debt Fund ,9.00,89.00,0.00,314.72,"-,314.72","2,404.36","2,400.79",,,19-04-2024
29-02-2020,Open ended Schemes,Hybrid Schemes,Conservative Hybrid Fund,22.00,"3,90,996.00","1,102.65","4,426.11","-3,323.46","12,433.39","12,695.98",,,19-04-2024
29-02-2020,Open ended Schemes,Other Schemes,Index Funds,32.00,"4,76,834.00","5,716.93","2,776.77","2,940.16","7,930.48","8,210.10",,,19-04-2024
29-02-2020,Open ended Schemes,Solution Oriented  Schemes,Childrens' Fund,9.00,"28,92,287.00",795.93,419.52,376.41,"8,552.34","8,815.53",,,19-04-2024
29-02-2020,Open ended Schemes,Solution Oriented  Schemes,Retirement Fund,24.00,"25,44,162.00","2,989.62",980.96,"2,008.66","10,088.25","10,447.28",,,19-04-2024
29-02-2020,Open ended Schemes,Hybrid Schemes,Equity Savings Fund,23.00,"3,34,284.00","2,353.85","8,562.22","-6,208.37","13,436.22","14,172.68",,,19-04-2024
29-02-2020,Open ended Schemes,Hybrid Schemes,Arbitrage Fund,25.00,"3,02,989.00","79,931.68","44,481.45","35,450.23","85,360.40","87,044.79",,,19-04-2024
29-02-2020,Open ended Schemes,Hybrid Schemes,Multi Asset Allocation,7.00,"6,13,535.00","3,691.82","3,213.70",478.12,"10,852.82","13,298.69",,,19-04-2024
29-02-2020,Open ended Schemes,Hybrid Schemes,Dynamic Asset Allocation/Balanced Advantage,22.00,"26,22,231.00","27,056.04","20,723.11","6,332.93","93,916.05","98,466.89",,,19-04-2024
29-02-2020,Open ended Schemes,Hybrid Schemes,Balanced Hybrid Fund/Aggressive Hybrid Fund,33.00,"52,80,352.00","25,136.84","45,173.17","-,20,036.32","1,26,575.14","1,33,850.25",,,19-04-2024
29-02-2020,Open ended Schemes,Other Schemes,GOLD ETFs,11.00,"4,92,753.00","2,271.29",462.74,"1,808.55","7,926.12","6,478.37",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Sectoral/Thematic Funds,100.00,"65,07,979.00","18,283.72","14,808.57","3,475.15","63,912.71","66,884.11",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,ELSS,43.00,"1,21,84,832.00","15,241.21","8,605.25","6,635.97","96,565.34","1,01,973.80",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Dividend Yield Fund,6.00,"4,72,109.00",344.44,693.02,"-,348.58","4,114.54","4,387.33",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Focused Fund,22.00,"34,79,625.00","20,283.04","9,442.53","10,840.51","49,312.62","51,167.78",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Small Cap Fund,23.00,"51,03,771.00","19,767.07","9,498.59","10,268.48","50,967.14","52,601.52",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Mid Cap Fund,26.00,"64,19,805.00","26,730.64","14,446.36","12,284.28","89,022.80","92,246.15",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Large & Mid Cap Fund,27.00,"46,90,989.00","15,771.09","11,338.17","4,432.92","56,764.12","59,415.03",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Large Cap Fund,30.00,"98,31,790.00","43,079.04","29,136.25","13,942.79","1,46,316.78","1,54,834.68",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Multi Cap Fund,35.00,"91,44,004.00","39,880.04","26,588.37","13,291.67","1,48,861.97","1,56,974.12",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Floater Fund,7.00,"1,66,681.00","33,918.06","27,530.21","6,387.85","38,179.73","37,498.83",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund with 10 year constant duration,4.00,"32,680.00",650.53,391.78,258.75,852.50,815.39,,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund,21.00,"1,04,727.00","4,479.20","4,516.89",-37.70,"8,465.94","8,491.23",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Credit Risk Fund,22.00,"4,84,554.00","8,565.98","31,024.71","-,22,458.73","61,837.66","61,911.50",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Corporate Bond Fund,20.00,"3,83,428.00","44,943.17","22,884.21","22,058.96","85,262.93","83,646.22",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Banking and PSU Fund,19.00,"1,71,809.00","55,219.84","14,403.85","40,815.99","78,603.28","77,407.93",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Long Duration Fund,2.00,"25,986.00",536.03,242.46,293.58,"1,599.89","1,533.99",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Medium to Long Duration Fund,14.00,"1,08,713.00","1,904.40","2,373.27","-,468.87","10,350.23","10,178.18",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Medium Duration Fund,17.00,"2,25,742.00","6,654.00","14,942.43","-8,288.43","31,032.81","30,783.05",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Short Duration Fund,28.00,"3,67,453.00","55,497.91","35,883.26","19,614.65","1,04,679.15","1,02,576.86",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Money Market Fund,19.00,"3,58,634.00","1,77,232.17","1,49,914.95","27,317.22","84,129.52","83,464.30",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Low Duration Fund,26.00,"9,91,397.00","1,17,448.53","1,06,308.25","11,140.28","1,00,987.06","98,890.26",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Ultra Short Duration Fund,29.00,"7,02,191.00","1,73,888.62","1,54,388.50","19,500.12","1,00,964.63","1,01,793.84",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Liquid Fund,40.00,"17,97,938.00","1,40,34,876.17","1,39,99,968.82","34,907.35","4,43,108.33","4,94,144.91",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Overnight Fund,30.00,"47,900.00","23,05,306.10","22,64,305.39","41,000.71","53,283.34","51,906.76",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Value Fund/Contra Fund,18.00,"41,48,361.00","10,694.19","13,453.16","-2,758.97","51,199.75","55,010.92",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Dynamic Bond Fund,29.00,"2,18,577.00","4,724.53","6,629.58","-1,905.05","18,987.40","18,886.07",,,19-04-2024
31-03-2020,Close ended Schemes,Income/Debt Oriented Schemes,Fixed Term Plan,742.00,"8,51,658.00","4,013.99","32,726.77","-,28,712.78","1,40,594.52","1,40,039.69",,,19-04-2024
31-03-2020,Close ended Schemes,Income/Debt Oriented Schemes,Capital Protection Oriented  Schemes,31.00,"1,07,535.00",489.02,"2,665.47","-2,176.45","4,209.98","4,225.34",,,19-04-2024
31-03-2020,Close ended Schemes,Income/Debt Oriented Schemes,Infrastructure Debt Fund ,9.00,89.00,0.00,314.72,"-,314.72","2,391.37","2,399.47",,,19-04-2024
31-03-2020,Interval Schemes,Interval Schemes,Income/Debt Oriented Schemes,23.00,"3,888.00",9.05,"1,714.76","-1,705.71",392.65,413.26,,,19-04-2024
31-03-2020,Close ended Schemes,Growth/Equity Oriented Schemes,ELSS,25.00,"4,70,566.00",0.00,322.10,"-,322.10","3,044.95","3,450.60",,,19-04-2024
31-03-2020,Close ended Schemes,Growth/Equity Oriented Schemes,Others,86.00,"12,30,807.00",0.00,"1,868.32","-1,868.32","21,408.90","23,921.23",,,19-04-2024
31-03-2020,Close ended Schemes,Growth/Equity Oriented Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,19-04-2024
31-03-2020,Open ended Schemes,Other Schemes,Fund of funds investing overseas,28.00,"1,89,784.00","1,392.90",522.36,870.54,"2,734.36","2,696.94",,,19-04-2024
31-03-2020,Close ended Schemes,Income/Debt Oriented Schemes,Other Debt,33.00,"83,390.00",0.00,"2,605.93","-2,605.93","3,426.89","3,568.86",,,19-04-2024
31-03-2020,Interval Schemes,Interval Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,19-04-2024
31-03-2020,Open ended Schemes,Hybrid Schemes,Arbitrage Fund,25.00,"2,96,071.00","86,320.86","84,637.86","1,683.00","52,210.30","72,883.82",,,19-04-2024
31-03-2020,Open ended Schemes,Other Schemes,Index Funds,32.00,"5,44,075.00","8,221.73","3,205.09","5,016.64","8,089.00","7,662.69",,,19-04-2024
31-03-2020,Open ended Schemes,Solution Oriented  Schemes,Childrens' Fund,9.00,"28,92,087.00",851.95,440.19,411.76,"7,192.18","7,665.42",,,19-04-2024
31-03-2020,Open ended Schemes,Solution Oriented  Schemes,Retirement Fund,24.00,"25,44,753.00","3,155.48","1,113.09","2,042.38","8,507.07","9,079.13",,,19-04-2024
31-03-2020,Open ended Schemes,Hybrid Schemes,Equity Savings Fund,23.00,"3,29,350.00","2,447.92","9,445.47","-6,997.56","11,228.91","12,230.95",,,19-04-2024
31-03-2020,Open ended Schemes,Hybrid Schemes,Multi Asset Allocation,8.00,"6,31,330.00","4,243.53","3,490.07",753.47,"9,439.41","11,407.57",,,19-04-2024
31-03-2020,Open ended Schemes,Hybrid Schemes,Dynamic Asset Allocation/Balanced Advantage,23.00,"26,57,247.00","29,572.95","23,497.17","6,075.77","77,091.39","83,711.20",,,19-04-2024
31-03-2020,Open ended Schemes,Hybrid Schemes,Balanced Hybrid Fund/Aggressive Hybrid Fund,33.00,"52,72,614.00","27,229.24","48,781.13","-,21,551.89","1,00,990.18","1,11,519.18",,,19-04-2024
31-03-2020,Open ended Schemes,Hybrid Schemes,Conservative Hybrid Fund,22.00,"3,86,103.00","1,165.59","4,894.82","-3,729.23","11,189.68","11,603.79",,,19-04-2024
31-03-2020,Open ended Schemes,Other Schemes,Other ETFs,76.00,"18,99,781.00","1,23,007.74","63,198.33","59,809.41","1,46,462.67","1,56,551.32",,,19-04-2024
31-03-2020,Interval Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,19-04-2024
31-03-2020,Open ended Schemes,Other Schemes,GOLD ETFs,11.00,"5,26,671.00","2,514.79",901.20,"1,613.59","7,949.06","7,794.47",,,19-04-2024
31-03-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Sectoral/Thematic Funds,96.00,"65,28,979.00","20,900.56","16,631.60","4,268.96","49,844.16","55,337.27",,,19-04-2024
31-03-2020,Open ended Schemes,Growth/Equity Oriented Schemes,ELSS,43.00,"1,23,35,172.00","17,429.36","9,242.28","8,187.08","74,791.50","83,199.02",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund,21.00,"1,16,938.00","5,879.98","5,170.98",709.00,"9,284.98","8,923.39",,,19-04-2024
31-03-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Focused Fund,22.00,"35,70,651.00","23,485.73","10,650.82","12,834.91","39,071.92","43,178.89",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund with 10 year constant duration,4.00,"34,206.00",789.06,446.78,342.28,941.41,895.47,,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Floater Fund,7.00,"1,62,058.00","36,316.74","35,678.49",638.25,"32,490.43","35,860.38",,,19-04-2024
31-03-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Multi Cap Fund,34.00,"92,64,215.00","45,594.03","30,033.96","15,560.06","1,13,908.49","1,27,487.34",,,19-04-2024
31-03-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Dividend Yield Fund,6.00,"4,70,525.00",365.86,743.55,"-,377.69","3,282.01","3,521.43",,,19-04-2024
31-03-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Large & Mid Cap Fund,27.00,"47,35,650.00","17,834.20","12,541.88","5,292.32","42,972.00","48,656.07",,,19-04-2024
31-03-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Small Cap Fund,23.00,"51,28,434.00","21,544.75","11,113.77","10,430.97","35,832.03","42,436.53",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Banking and PSU Fund,19.00,"1,70,392.00","59,782.86","25,271.31","34,511.54","72,475.86","75,147.36",,,19-04-2024
31-03-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Large Cap Fund,29.00,"1,00,28,315.00","49,942.59","33,939.25","16,003.34","1,13,541.25","1,26,269.41",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Credit Risk Fund,23.00,"4,61,927.00","9,276.41","37,303.95","-,28,027.54","55,380.52","58,361.76",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Overnight Fund,30.00,"86,255.00","31,04,154.07","30,36,499.78","67,654.29","80,174.19","90,511.30",,,19-04-2024
31-03-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Mid Cap Fund,27.00,"64,98,964.00","30,246.47","16,729.01","13,517.45","65,804.85","75,890.72",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Long Duration Fund,2.00,"27,215.00",628.55,278.32,350.23,"1,669.57","1,651.42",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Dynamic Bond Fund,29.00,"2,15,543.00","5,571.71","8,309.80","-2,738.09","18,115.97","18,621.47",,,19-04-2024
31-03-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Value Fund/Contra Fund,17.00,"41,31,763.00","12,840.08","14,770.55","-1,930.46","39,459.52","44,169.85",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Liquid Fund,39.00,"18,15,547.00","1,44,30,056.33","1,45,05,186.05","-,75,129.73","3,34,725.32","3,82,240.32",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Ultra Short Duration Fund,29.00,"6,50,202.00","1,85,685.09","1,95,237.95","-9,552.85","72,226.36","87,634.92",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Low Duration Fund,26.00,"9,63,640.00","1,27,452.33","1,36,233.18","-8,780.85","81,371.19","92,105.78",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Corporate Bond Fund,20.00,"3,91,721.00","49,845.54","31,577.58","18,267.96","81,729.80","83,261.48",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Short Duration Fund,28.00,"3,59,856.00","60,309.59","51,733.48","8,576.11","93,444.34","99,010.32",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Medium Duration Fund,18.00,"2,21,149.00","7,325.88","17,778.47","-,10,452.59","28,290.29","29,623.71",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Medium to Long Duration Fund,14.00,"1,08,506.00","2,086.65","3,147.57","-1,060.93","9,804.79","9,805.21",,,19-04-2024
31-03-2020,Open ended Schemes,Income/Debt Oriented Schemes,Money Market Fund,20.00,"3,50,429.00","1,93,476.64","1,93,561.71",-85.07,"57,016.64","74,256.44",,,19-04-2024
31-08-2021,Open ended Schemes,Solution Oriented  Schemes,Childrens' Fund,10.00,"28,81,269.00",368.25,217.83,150.41,"12,519.14","12,262.87",0.00,0.00,19-07-2024
31-08-2021,Close ended Schemes,Growth/Equity Oriented Schemes,ELSS,25.00,"3,98,892.00",-0.00,684.05,"-,684.05","4,897.00","4,839.54",0.00,0.00,19-07-2024
31-08-2021,Close ended Schemes,Income/Debt Oriented Schemes,Other Debt Scheme,1.00,718.00,0.00,681.49,"-,681.49",60.17,59.80,0.00,0.00,19-07-2024
31-08-2021,Close ended Schemes,Income/Debt Oriented Schemes,Infrastructure Debt Fund ,8.00,80.00,0.00,319.00,"-,319.00","2,004.53","2,001.09",0.00,0.00,19-07-2024
31-08-2021,Close ended Schemes,Income/Debt Oriented Schemes,Capital Protection Oriented  Schemes,14.00,"32,901.00",0.00,964.47,"-,964.47","1,702.98","1,687.60",0.00,0.00,19-07-2024
31-08-2021,Close ended Schemes,Income/Debt Oriented Schemes,Fixed Term Plan,332.00,"2,27,395.00","1,980.87","69,980.97","-,68,000.11","53,286.47","57,332.57",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Other Schemes,Fund of funds investing overseas,38.00,"10,32,517.00","8,726.73","1,240.61","7,486.12","21,441.19","20,804.15",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Other Schemes,Other ETFs,101.00,"63,04,648.00","45,875.83","19,854.07","26,021.77","3,44,292.22","3,28,690.14",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Other Schemes,Gold ETFs,11.00,"21,46,745.00","2,212.74",922.65,"1,290.09","16,349.82","16,348.51",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Liquid Fund,39.00,"21,26,963.00","12,30,753.25","12,01,588.96","29,164.29","3,71,245.72","3,76,230.67",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Solution Oriented  Schemes,Retirement Fund,25.00,"26,42,849.00",907.29,727.94,179.35,"15,698.00","15,328.91",0.00,0.00,19-07-2024
31-08-2021,Close ended Schemes,Growth/Equity Oriented Schemes,Other Equity Schemes,33.00,"3,45,456.00",0.00,"5,647.77","-5,647.76","11,077.38","10,937.12",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Hybrid Schemes,Arbitrage Fund,26.00,"5,60,457.00","69,424.10","31,880.93","37,543.17","1,08,251.29","1,21,284.79",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Hybrid Schemes,Multi Asset Allocation Fund,10.00,"7,34,944.00","2,016.25","1,968.01",48.24,"17,059.06","17,526.85",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Hybrid Schemes,Dynamic Asset Allocation / Balanced Advantage Fund,24.00,"33,91,912.00","34,196.34","10,051.62","24,144.71","1,41,492.65","1,26,420.92",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Hybrid Schemes,Balanced Hybrid Fund/ Aggressive Hybrid Fund,34.00,"48,26,075.00","11,807.25","12,866.04","-1,058.79","1,40,797.38","1,37,795.69",2.00,9.33,19-07-2024
31-08-2021,Open ended Schemes,Hybrid Schemes,Conservative Hybrid Fund,22.00,"4,57,641.00","3,748.51","1,797.92","1,950.58","17,378.03","17,216.64",2.00,44.58,19-07-2024
31-08-2021,Open ended Schemes,Growth/Equity Oriented Schemes,Flexi Cap Fund,28.00,"98,47,338.00","34,255.37","15,527.89","18,727.49","2,07,660.59","1,99,078.88",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Growth/Equity Oriented Schemes,Sectoral/Thematic Funds,111.00,"94,53,800.00","26,720.13","15,056.99","11,663.14","1,31,122.22","1,26,731.62",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Overnight Fund,30.00,"1,25,333.00","13,97,832.28","13,92,328.30","5,503.98","77,725.66","94,972.17",0.00,0.00,19-07-2024
31-08-2021,Interval Schemes,Interval Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19-07-2024
31-08-2021,Interval Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Hybrid Schemes,Equity Savings Fund,23.00,"3,05,370.00","4,508.50","1,729.46","2,779.05","13,135.98","13,095.45",2.00,25.81,19-07-2024
31-08-2021,Close ended Schemes,Growth/Equity Oriented Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Floater Fund,12.00,"2,69,606.00","58,118.03","30,906.51","27,211.52","94,751.38","89,676.69",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Growth/Equity Oriented Schemes,ELSS,42.00,"1,28,52,969.00","6,404.16","8,912.87","-2,508.70","1,45,950.61","1,41,240.05",0.00,0.00,19-07-2024
31-08-2021,Interval Schemes,Interval Schemes,Income/Debt Oriented Schemes,21.00,"3,294.00",0.20,6.88,-6.68,117.63,146.49,0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Growth/Equity Oriented Schemes,Multi Cap Fund,11.00,"16,39,812.00","4,809.20","2,656.11","2,153.09","26,790.79","25,957.23",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Growth/Equity Oriented Schemes,Dividend Yield Fund,8.00,"5,40,076.00","1,233.34",478.06,755.28,"9,164.21","8,903.14",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Growth/Equity Oriented Schemes,Large & Mid Cap Fund,28.00,"55,48,081.00","10,662.70","6,624.64","4,038.06","96,660.05","93,857.96",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Growth/Equity Oriented Schemes,Mid Cap Fund,27.00,"74,92,165.00","16,681.83","10,976.74","5,705.09","1,46,626.85","1,42,798.12",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Growth/Equity Oriented Schemes,Small Cap Fund,25.00,"61,65,044.00","12,678.65","9,092.91","3,585.74","93,677.04","92,454.19",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund,21.00,"1,93,775.00","5,945.90","5,909.49",36.40,"16,743.24","16,362.42",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Growth/Equity Oriented Schemes,Large Cap Fund,33.00,"1,11,87,236.00","18,262.39","15,938.33","2,324.06","2,12,473.33","2,05,073.09",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Banking and PSU Fund,22.00,"3,67,750.00","20,488.86","20,715.65","-,226.79","1,22,246.24","1,21,143.65",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Medium to Long Duration Fund,13.00,"1,21,294.00","3,468.07","2,604.13",863.94,"11,544.70","10,589.26",1.00,16.13,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Corporate Bond Fund,20.00,"7,21,319.00","34,418.55","37,239.70","-2,821.15","1,61,378.22","1,58,475.70",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund with 10 year constant duration Fund,4.00,"50,204.00",255.38,303.19,-47.81,"1,499.59","1,472.06",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Long Duration Fund,2.00,"26,599.00",164.79,174.17,-9.38,"2,583.22","2,549.06",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Dynamic Bond Fund,26.00,"2,51,937.00","6,203.94","7,487.92","-1,283.98","25,470.96","25,136.86",2.00,128.88,19-07-2024
31-08-2021,Open ended Schemes,Growth/Equity Oriented Schemes,Focused Fund,27.00,"44,25,952.00","13,349.87","7,260.95","6,088.92","89,403.67","83,676.12",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Credit Risk Fund,16.00,"2,84,978.00","2,899.87","2,157.85",742.02,"27,055.01","26,901.21",8.00,230.80,19-07-2024
31-08-2021,Open ended Schemes,Growth/Equity Oriented Schemes,Value Fund/Contra Fund,19.00,"38,22,234.00","5,333.81","7,107.30","-1,773.49","73,612.85","71,999.33",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Other Schemes,Index Funds,51.00,"15,30,663.00","11,297.42","4,157.36","7,140.06","30,050.66","28,093.41",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Low Duration Fund,24.00,"11,48,104.00","1,22,327.33","98,155.63","24,171.70","1,56,106.63","1,60,247.55",2.00,11.92,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Money Market Fund,20.00,"4,84,192.00","1,55,974.07","1,22,382.23","33,591.84","1,25,210.09","1,24,083.37",0.00,0.00,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Short Duration Fund,27.00,"6,37,336.00","32,679.91","34,537.95","-1,858.03","1,42,038.34","1,40,426.64",1.00,11.24,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Medium Duration Fund,16.00,"2,98,702.00","6,583.00","4,843.47","1,739.53","32,647.04","32,390.81",6.00,327.66,19-07-2024
31-08-2021,Open ended Schemes,Income/Debt Oriented Schemes,Ultra Short Duration Fund,28.00,"6,46,637.00","1,00,315.24","82,366.98","17,948.26","1,06,445.20","1,05,170.33",0.00,0.00,19-07-2024
19-09-2021,Close ended Schemes,Growth/Equity Oriented Schemes,Other Equity Schemes,31.00,"2,55,224.00",0.00,"7,755.31","-7,755.31","9,260.82","10,623.29",0.00,0.00,19-07-2024
19-09-2021,Open ended Schemes,Other Schemes,Index Funds,53.00,"16,22,449.00","15,561.49","5,317.11","10,244.39","33,824.26","31,906.81",0.00,0.00,19-07-2024
19-09-2021,Close ended Schemes,Growth/Equity Oriented Schemes,ELSS,20.00,"3,25,287.00",0.00,797.53,"-,797.53","4,026.33","4,777.96",0.00,0.00,19-07-2024
