Company_Name,ISIN,segment1,Type_Issue1,Sector,Total_No_Securities,Fresh_No_Securities,OFS_No_Securities,Issue_Open_Date,Issue_Close_Date,Times_subscribed,Face_Value,Premimum,Issue_Price,Issue_Size,Listing_Date,Anchor,QIB,Final_QIB,NII,RII,Market_Maker,Shareholder,Employee,Policy_Holders,Underwriter,Promoters_Contribution,Reservation_Portion,Net offer to public,Region,6(1) / (2),Industry_Raw,State1,Region1,Exchange,Designated_Exchange,Issue_Size_Bucket,Calender_Month,Calender_Year,Financial_Year
Rail Vikas Nigam Limited,,Main Board,IPO,Public,253457280,0,253457280,2019-03-29 00:00:00,2019-04-03,1.83,10.0,,19.0,477.11,2019-04-11,,,,,,,,,,,,,,Northern,,Engineering,Delhi,Northern,,,≥ 100 crore - < 500crore,2019-04-30,2019,2019-20
KHFM Hospitality and Facility Management Serv Ltd,,SME,IPO,Private,2949000,2949000,0,2019-03-22 00:00:00,2019-04-04,1.27,10.0,,36.0,10.6164,2019-04-12,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,,,≥ 10crore - < 50crore,2019-04-30,2019,2019-20
Metropolis Healthcare Limited,,Main Board,IPO,Private,13685095,0,13685095,2019-04-03 00:00:00,2019-04-05,5.84,2.0,,880.0,1204.28836,2019-04-15,,,,,,,,,,,,,,Western,,Healthcare,Maharashtra,Western,,,≥ 500crore,2019-04-30,2019,2019-20
Polycab India Limited,,Main Board,IPO,Private,25022067,7440067,17582000,2019-04-05 00:00:00,2019-04-09,52.2583,10.0,,538.0,1345.26,2019-04-16,,,,,,,,,,,,,,Northern,,Electronic Equipments/ Products,Delhi,Northern,,,≥ 500crore,2019-04-30,2019,2019-20
Jinaam's Dress Limited,,SME,IPO,Private,7200000,7200000,0,2019-04-09 00:00:00,2019-04-15,1.15,10.0,,59.0,42.48,2019-04-25,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,,,≥ 10crore - < 50crore,2019-04-30,2019,2019-20
V R Films & Studios Limited,,SME,IPO,Private,372000,372000,0,2019-04-12 00:00:00,2019-04-18,1.44,10.0,,61.0,2.2692,2019-04-30,,,,,,,,,,,,,,Western,,Entertainment,Maharashtra,Western,,,< 5 crore,2019-04-30,2019,2019-20
Vodafone Idea Limited,,Main Board,Right,Private,19999830911,19999830911,0,2019-04-10 00:00:00,2019-04-24,0,10.0,,12.5,24999.79,2019-05-08,,,,,,,,,,,,,,Western,,Telecom,Maharashtra,Western,,,≥ 500crore,2019-05-31,2019,2019-20
Neogen Chemicals Limited,,Main Board,IPO,Private,6155813,3255813,2900000,2019-04-24 00:00:00,2019-04-26,41.3678,10.0,,215.0,132.35,2019-05-08,,,,,,,,,,,,,,Western,,Chemical,Maharashtra,Western,,,≥ 100 crore - < 500crore,2019-05-31,2019,2019-20
G.K.P. Printing & Packaging Limited,,SME,IPO,Private,2056000,2056000,0,2019-04-23 00:00:00,2019-04-26,1.4825,10.0,,32.0,6.5792,2019-05-08,,,,,,,,,,,,,,Western,,Printing,Maharashtra,Western,,,≥ 5crore - < 10crore,2019-05-31,2019,2019-20
White Organic Retail Limited,,SME,IPO,Private,2454000,2454000,0,2019-04-26 00:00:00,2019-05-02,1.2942,10.0,,63.0,15.46,2019-05-10,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,,,≥ 10crore - < 50crore,2019-05-31,2019,2019-20
EVANS ELECTRIC LIMITED,,SME,IPO,Private,372000,372000,0,2019-04-30 00:00:00,2019-05-03,1.51,10.0,,52.0,1.9300000000000002,2019-05-13,,,,,,,,,,,,,,Western,,Electronic Equipments/ Products,Maharashtra,Western,,,< 5 crore,2019-05-31,2019,2019-20
ARTEMIS ELECTRICALS LIMITED,,SME,IPO,Private,7000000,7000000,0,2019-04-24 00:00:00,2019-05-06,1,10.0,,60.0,42.0,2019-05-14,,,,,,,,,,,,,,Western,,Consumer Services,Maharashtra,Western,,,≥ 10crore - < 50crore,2019-05-31,2019,2019-20
Bharat Gears Ltd,,Main Board,Right,Private,1163262,1163262,0,2019-04-15 00:00:00,2019-04-30,0,10.0,,105.0,12.214251,2019-05-15,,,,,,,,,,,,,,Northern,,Engineering,Haryana,Northern,,,≥ 10crore - < 50crore,2019-05-31,2019,2019-20
Par Drugs And Chemicals Limited,,SME,IPO,Private,1672000,1672000,0,2019-05-03 00:00:00,2019-05-08,5.2883,10.0,,51.0,8.53,2019-05-16,,,,,,,,,,,,,,Western,,Chemical,Gujarat,Western,,,≥ 5crore - < 10crore,2019-05-31,2019,2019-20
GENUS PRIME INFRA LIMITED,,Main Board,Right,Private,852940,852940,0,2019-04-18 00:00:00,2019-05-02,0,2.0,,3.0,0.255882,2019-05-20,,,,,,,,,,,,,,Northern,,Chemical,Uttarakhand,Northern,,,< 5 crore,2019-05-31,2019,2019-20
GENUS PRIME INFRA LIMITED,,Main Board,Right,Private,852940,852940,0,2019-04-18 00:00:00,2019-05-02,0,2.0,,3.0,0.255882,2019-05-20,,,,,,,,,,,,,,Northern,,Chemical,Uttar Pradesh,Northern,,,< 5 crore,2019-05-31,2019,2019-20
Cian Healthcare Limited,,SME,IPO,Private,6216000,6216000,0,2019-05-02 00:00:00,2019-05-15,1.19,10.0,,61.0,37.91,2019-05-23,,,,,,,,,,,,,,Western,,Healthcare,Maharashtra,Western,,,≥ 10crore - < 50crore,2019-05-31,2019,2019-20
Bharti Airtel Limited,,Main Board,Right,Private,1133590816,1133590816,0,2019-05-03 00:00:00,2019-05-17,0,10.0,,215.0,24372.202544,2019-05-29,,,,,,,,,,,,,,Northern,,Telecom,Delhi,Northern,,,≥ 500crore,2019-05-31,2019,2019-20
Suich Industries Limited,,SME,IPO,Private,4115200,4115200,0,2019-05-30 00:00:00,2019-06-04,1.3207,10.0,,75.0,30.864,2019-06-13,,,,,,,,,,,,,,Northern,,Telecom,Delhi,Northern,,,≥ 10crore - < 50crore,2019-06-30,2019,2019-20
Meera Industries Limited,,SME,FPO,Private,522000,522000,0,2019-06-13 00:00:00,2019-06-18,1.0939,10.0,,225.0,11.745,2019-06-26,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,,,≥ 10crore - < 50crore,2019-06-30,2019,2019-20
Scanpoint Geomatics Limited,,Main Board,Right,Private,4333819,4333819,0,2019-05-29 00:00:00,2019-06-14,0,2.0,,23.0,9.9677837,2019-06-27,,,,,,,,,,,,,,Western,,Info Tech,Gujarat,Western,,,≥ 5crore - < 10crore,2019-06-30,2019,2019-20
Parshva Enterprises Limited,,SME,IPO,Private,810000,810000,0,2019-06-19 00:00:00,2019-06-21,1.13,10.0,,45.0,3.645,2019-07-01,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,,,< 5 crore,2019-07-31,2019,2019-20
Anand Rayons Limited,,SME,IPO,Private,4688000,4688000,0,2019-06-18 00:00:00,2019-06-24,1.11,10.0,,27.0,12.6576,2019-07-02,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,,,≥ 10crore - < 50crore,2019-07-31,2019,2019-20
SBC Exports Limited,,SME,IPO,Private,2982000,2982000,0,2019-06-24 00:00:00,2019-06-26,1.29,10.0,,22.0,6.5604,2019-07-04,,,,,,,,,,,,,,Northern,,Misc,Uttar Pradesh,Northern,,,≥ 5crore - < 10crore,2019-07-31,2019,2019-20
SBC Exports Limited,,SME,IPO,Private,2982000,2982000,0,2019-06-24 00:00:00,2019-06-26,1.29,10.0,,22.0,6.5604,2019-07-04,,,,,,,,,,,,,,Northern,,Misc,Uttarakhand,Northern,,,≥ 5crore - < 10crore,2019-07-31,2019,2019-20
Earum Pharmaceuticals Limited,,SME,IPO,Private,1848000,1848000,0,2019-06-21 00:00:00,2019-06-26,1.52,10.0,,36.0,6.6528,2019-07-04,,,,,,,,,,,,,,Western,,Healthcare,Gujarat,Western,,,≥ 5crore - < 10crore,2019-07-31,2019,2019-20
Indiamart Intermesh Limited,,Main Board,IPO,Private,4887862,0,4887862,2019-06-24 00:00:00,2019-06-26,36.2057,10.0,,973.0,475.5889726,2019-07-04,,,,,,,,,,,,,,Northern,,Misc,Delhi,Northern,,,≥ 100 crore - < 500crore,2019-07-31,2019,2019-20
Affle India Limited,,Main Board,IPO,Private,6161073,1208053,4953020,2019-07-29 00:00:00,2019-07-31,85.96,10.0,,745.0,458.9999385,2019-07-08,,,,,,,,,,,,,,Western,,Info Tech,Maharashtra,Western,,,≥ 100 crore - < 500crore,2019-07-31,2019,2019-20
City Pulse Multiplex Limited,,SME,IPO,Private,1328000,1328000,0,2019-06-28 00:00:00,2019-07-05,2.84,10.0,,30.0,3.984,2019-07-11,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,,,< 5 crore,2019-07-31,2019,2019-20
AB Infrabuild Limited,,SME,IPO,Private,4428000,4428000,0,2019-06-28 00:00:00,2019-07-03,0.921,10.0,,29.0,12.8412,2019-07-12,,,,,,,,,,,,,,Western,,Cement/ Constructions,Maharashtra,Western,,,≥ 10crore - < 50crore,2019-07-31,2019,2019-20
SK International Export Limited,,SME,IPO,Private,1980000,1980000,0,2019-06-27 00:00:00,2019-07-03,1.19,10.0,,20.0,3.96,2019-07-15,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,,,< 5 crore,2019-07-31,2019,2019-20
TATA SPONGE IRON LIMITED,,Main Board,Right,Private,29700000,29700000,0,2019-07-02 00:00:00,2019-07-16,0,10.0,,500.0,1485.0,2019-07-26,,,,,,,,,,,,,,Southern,,Engineering,,,,,≥ 500crore,2019-07-31,2019,2019-20
RELIANCE CHEMOTEX INDUSTRIES LTD,,Main Board,Right,Private,3816818,3816818,0,2019-07-08 00:00:00,2019-07-22,0,10.0,,65.0,24.809317,2019-08-06,,,,,,,,,,,,,,Northern,,Textiles,Rajasthan,Western,,,≥ 10crore - < 50crore,2019-08-31,2019,2019-20
Wonder Fibromats Limited,,SME,IPO,Private,2224000,2224000,0,2019-07-22 00:00:00,2019-07-29,1.26187,10.0,,89.0,19.7936,2019-08-06,,,,,,,,,,,,,,Northern,,Electronic Equipments/ Products,Delhi,Northern,,,≥ 10crore - < 50crore,2019-08-31,2019,2019-20
Spandana Sphoorty Financial Limited ,,Main Board,IPO,Private,13900110,4543385,9356725,2019-08-05 00:00:00,2019-08-07,1.05,10.0,,856.0,1189.849416,2019-08-19,,,,,,,,,,,,,,Southern,,Banks/FIs,Telangana,Southern,,,≥ 500crore,2019-08-31,2019,2019-20
Sterling & Wilson Solar Limited,,Main Board,IPO,Private,36533820,0,36533820,2019-08-06 00:00:00,2019-08-08,0.8398000000000001,1.0,,780.0,2849.63796,2019-08-20,,,,,,,,,,,,,,Western,,Electronic Equipments/ Products,Maharashtra,Western,,,≥ 500crore,2019-08-31,2019,2019-20
5Paisa Capital Limited,,Main Board,Right,Private,12738646,12738646,0,2019-07-23 00:00:00,2019-08-06,0,10.0,,80.0,101.909168,2019-08-22,,,,,,,,,,,,,,Western,,Finance,Maharashtra,Western,,,≥ 100 crore - < 500crore,2019-08-31,2019,2019-20
Ishan Dyes & Chemicals Ltd,,Main Board,Right,Private,5181762,5181762,0,2019-07-12 00:00:00,2019-07-26,0,10.0,,27.0,13.9907574,2019-08-29,,,,,,,,,,,,,,Northern,,Misc,Rajasthan,Western,,,≥ 10crore - < 50crore,2019-08-31,2019,2019-20
Alphalogic Techsys Limited,,SME,IPO,Private,736000,736000,0,2019-08-26 00:00:00,2019-08-28,1.18,10.0,,84.0,6.1824,2019-09-05,,,,,,,,,,,,,,Western,,Consumer Services,Maharashtra,Western,,,≥ 5crore - < 10crore,2019-09-30,2019,2019-20
Transpact Enterprises Limited,,SME,IPO,Private,104000,104000,0,2019-08-26 00:00:00,2019-08-28,1.07,10.0,,130.0,1.352,2019-09-05,,,,,,,,,,,,,,Western,,Electronic Equipments/ Products,Maharashtra,Western,,,< 5 crore,2019-09-30,2019,2019-20
Salasar Exteriors And Contour Limited,,SME,IPO,Private,2361000,2361000,0,2019-08-28 00:00:00,2019-09-03,1.0902,10.0,,36.0,8.4996,2019-09-12,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,,,≥ 5crore - < 10crore,2019-09-30,2019,2019-20
Novateor Research Laboratories Limited,,SME,IPO,Private,1872000,1872000,0,2019-08-30 00:00:00,2019-09-04,1.16,10.0,,24.0,4.4928,2019-09-13,,,,,,,,,,,,,,Western,,Healthcare,Gujarat,Western,,,< 5 crore,2019-09-30,2019,2019-20
Shiv Aum Steels Limited,,SME,IPO,Private,3600000,3600000,0,2019-09-19 00:00:00,2019-09-23,1.27,10.0,,44.0,15.84,2019-10-01,,,,,,,,,,,,,,Western,,Engineering,Maharashtra,Western,,,≥ 10crore - < 50crore,2019-10-31,2019,2019-20
Misquita Engineering Limited,,SME,IPO,Private,716000,444000,272000,2019-09-23 00:00:00,2019-09-25,1.54,10.0,,27.0,1.9332,2019-10-04,,,,,,,,,,,,,,Western,,Engineering,Goa,Western,,,< 5 crore,2019-10-31,2019,2019-20
Galactico Corporate Services Limited,,SME,IPO,Private,1608000,300000,1308000,2019-09-24 00:00:00,2019-09-27,1.1,10.0,,23.0,3.6984,2019-10-09,,,,,,,,,,,,,,Western,,Finance,Maharashtra,Western,,,< 5 crore,2019-10-31,2019,2019-20
Indian Railway Catering and Tourism Corporation Limited,,Main Board,IPO,Public,20160000,0,20160000,2019-09-30 00:00:00,2019-10-03, 109.75,10.0,,320.0,637.96,2019-10-14,,,,,,,,,,,,,,Northern,,Misc,Delhi,Northern,,,≥ 500crore,2019-10-31,2019,2019-20
GOBLIN INDIA LIMITED,,SME,IPO,Private,2924000,2924000,0,2019-09-30 00:00:00,2019-10-04,1.13,10.0,,52.0,15.2048,2019-10-15,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,,,≥ 10crore - < 50crore,2019-10-31,2019,2019-20
Gensol Engineering Limited,,SME,IPO,Private,2160000,2160000,0,2019-09-30 00:00:00,2019-10-04,1.2,10.0,,83.0,17.928,2019-10-15,,,,,,,,,,,,,,Western,,Consumer Services,Chandigarh,Northern,,,≥ 10crore - < 50crore,2019-10-31,2019,2019-20
Sona Hi Sona Jewellers (Gujarat) Limited,,SME,IPO,Private,4500000,4500000,0,2019-09-30 00:00:00,2019-10-04,1.1467,10.0,,10.0,4.5,2019-10-15,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,,,< 5 crore,2019-10-31,2019,2019-20
Vishwaraj Sugar Industries Limited,,Main Board,IPO,Private,10000000,3000000,7000000,2019-09-30 00:00:00,2019-10-04,1.12,10.0,,60.0,60.0,2019-10-15,,,,,,,,,,,,,,Southern,,Food processing,Karnataka,Southern,,,≥ 50 crore - < 100crore,2019-10-31,2019,2019-20
Patel Engineering Limited,,Main Board,Right,Private,229947908,229947908,0,2019-09-26 00:00:00,2019-10-10,0,1.0,,9.0,206.9531172,2019-10-23,,,,,,,,,,,,,,Western,,Cement/ Constructions,Maharashtra,Western,,,≥ 100 crore - < 500crore,2019-10-31,2019,2019-20
Shri Keshav Cements & Infra Limited,,Main Board,Right,Private,6871552,6871552,0,2019-09-30 00:00:00,2019-10-14,0,10.0,,41.0,28.1733632,2019-10-30,,,,,,,,,,,,,,Southern,,Cement/ Constructions,Karnataka,Southern,,,≥ 10crore - < 50crore,2019-10-31,2019,2019-20
Anuroop Packaging Limited,,SME,IPO,Private,2030000,330000,1700000,2019-11-08 00:00:00,2019-11-13,5.14,10.0,,13.0,2.64,2019-11-21,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,,,< 5 crore,2019-11-30,2019,2019-20
Mangalam Global Enterprise Limited,,SME,IPO,Private,4230000,4230000,0,2019-11-15 00:00:00,2019-11-20,1.113,10.0,,51.0,21.573,2019-11-27,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,,,≥ 10crore - < 50crore,2019-11-30,2019,2019-20
CSB Bank Limited,,Main Board,IPO,Private,21009067,1230769,19778298,2019-11-22 00:00:00,2019-11-26,86.93,10.0,,195.0,409.6768065,2019-12-04,,,,,,,,,,,,,,Southern,,Banks/Fis,Karnataka,Southern,,,≥ 100 crore - < 500crore,2019-12-31,2019,2019-20
Ascom Leasing & Investment Ltd,,SME,IPO,Private,2108000,2108000,0,2019-11-26 00:00:00,2019-11-28,1,10.0,,30.0,6.324,2019-12-06,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,,,≥ 5crore - < 10crore,2019-12-31,2019,2019-20
Ujjivan Small Finance Bank Limited,,Main Board,IPO,Private,202702702,202702702,0,2019-12-02 00:00:00,2019-12-04,166.57,10.0,,37.0,745.95,2019-12-12,,,,,,,,,,,,,,Northern,,Banks/FIs,Delhi,Northern,,,≥ 500crore,2019-12-31,2019,2019-20
Dc Infotech And Communication Limited,,SME,IPO,Private,2400000,2400000,0,2019-12-12 00:00:00,2019-12-18,4,10.0,,45.0,10.8,2019-12-27,,,,,,,,,,,,,,Western,,Info Tech,Maharashtra,Western,,,≥ 10crore - < 50crore,2019-12-31,2019,2019-20
Prince Pipes and Fittings Limited,,Main Board,IPO,Private,28089885,14044943,14044942,2019-12-18 00:00:00,2019-12-20,2.22,10.0,,178.0,500.0,2019-12-30,,,,,,,,,,,,,,Western,,Plastic,Maharashtra,Western,,,≥ 500crore,2019-12-31,2019,2019-20
Valencia Nutrition Limited,,SME,IPO,Private,1572000,1305000,267000,2019-12-23 00:00:00,2019-12-27,1.49,10.0,,46.0,7.23,2020-01-06,,,,,,,,,,,,,,Southern,,Misc,Karnataka,Southern,,,≥ 5crore - < 10crore,2020-01-31,2020,2019-20
Gian Life Care Limited,,SME,IPO,Private,1416000,1416000,0,2019-12-31 00:00:00,2020-01-03,1.07,10.0,,22.0,3.11,2020-01-10,,,,,,,,,,,,,,Northern,,Healthcare,Uttar Pradesh,Northern,,,< 5 crore,2020-01-31,2020,2019-20
Gian Life Care Limited,,SME,IPO,Private,1416000,1416000,0,2019-12-31 00:00:00,2020-01-03,1.07,10.0,,22.0,3.11,2020-01-10,,,,,,,,,,,,,,Northern,,Healthcare,Uttarakhand,Northern,,,< 5 crore,2020-01-31,2020,2019-20
Vaxtex Cotfab Limited,,SME,IPO,Private,1596000,1596000,0,2019-12-27 00:00:00,2020-01-03,2.86,10.0,,24.0,3.83,2020-01-13,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,,,< 5 crore,2020-01-31,2020,2019-20
Hindprakash Industries Limited,,SME,IPO,Private,2880000,2880000,0,2020-01-15 00:00:00,2020-01-17,2.05,10.0,,40.0,11.52,2020-01-27,,,,,,,,,,,,,,Western,,Chemical,Gujarat,Western,,,≥ 10crore - < 50crore,2020-01-31,2020,2019-20
Piramal Enterprises Limited,,Main Board,Right,Private,26385861,26385861,0,2020-01-07 00:00:00,2020-01-21,0,2.0,,1300.0,3430.16193,2020-02-01,,,,,,,,,,,,,,Western,,Healthcare,Maharashtra,Western,,,≥ 500crore,2020-02-29,2020,2019-20
TRANWAY TECHNOLOGIES LIMITED,,SME,IPO,Private,4240000,4240000,0,2020-01-27 00:00:00,2020-01-29,1.8774000000000002,10.0,,10.0,4.24,2020-02-05,,,,,,,,,,,,,,Southern,,Info Tech,Karnataka,Southern,,,< 5 crore,2020-02-29,2020,2019-20
JANUS CORPORATION LIMITED,,SME,IPO,Private,1599000,1599000,0,2020-01-27 00:00:00,2020-01-30,1.19,10.0,,40.0,7.995,2020-02-06,,,,,,,,,,,,,,Western,,Cement/ Constructions,Maharashtra,Western,,,≥ 5crore - < 10crore,2020-02-29,2020,2019-20
Madhav Copper Limited,,SME,FPO,Private,2499600,2499600,0,2020-01-27 00:00:00,2020-01-30,1.66,5.0,,102.0,25.49,2020-02-06,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,,,≥ 10crore - < 50crore,2020-02-29,2020,2019-20
Chandra Bhagat Pharma Limited,,SME,IPO,Private,2000000,2000000,0,2020-01-31 00:00:00,2020-02-06,1.5,10.0,,51.0,10.2,2020-02-14,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,,,≥ 10crore - < 50crore,2020-02-29,2020,2019-20
ICL Organic Dairy Products Limited,,SME,IPO,Private,2040000,2040000,0,2020-01-31 00:00:00,2020-02-04,2.42,10.0,,20.0,4.08,2020-02-17,,,,,,,,,,,,,,Northern,,Food processing,Uttar Pradesh,Northern,,,< 5 crore,2020-02-29,2020,2019-20
ICL Organic Dairy Products Limited,,SME,IPO,Private,2040000,2040000,0,2020-01-31 00:00:00,2020-02-04,2.42,10.0,,20.0,4.08,2020-02-17,,,,,,,,,,,,,,Northern,,Food processing,Uttarakhand,Northern,,,< 5 crore,2020-02-29,2020,2019-20
SM AUTO STAMPING LTD,,SME,IPO,Private,3840000,3840000,0,2020-03-03 00:00:00,2020-03-05,1.27,10.0,,18.0,6.91,2020-03-16,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,,,≥ 5crore - < 10crore,2020-03-31,2020,2019-20
SBI CARDS AND PAYMENT SERVICES LIMITED,,Main Board,IPO,Private,137149314,6622516,130526798,2020-03-02 00:00:00,2020-03-05,26.54,10.0,,755.0,10340.8,2020-03-16,,,,,,,,,,,,,,Northern,,Finance,Delhi,Northern,,,≥ 500crore,2020-03-31,2020,2019-20
Bajaj Electricals Limited,,Main Board,Right,Private,11290142,11290142,0,2020-02-18 00:00:00,2020-03-03,0,2.0,,310.0,349.994402,2020-03-18,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,,,≥ 100 crore - < 500crore,2020-03-31,2020,2019-20
Brooks Laboratories Limited,,Main Board,Right,Private,7666390,7666390,0,2020-02-19 00:00:00,2020-03-12,0,10.0,,20.0,15.33278,2020-03-25,,,,,,,,,,,,,,Northern,,Healthcare,Himachal Pradesh,Northern,,,≥ 10crore - < 50crore,2020-03-31,2020,2019-20
Arrow Greentech Limited,,Main Board,Right,Private,2347990,2347990,0,2020-02-28 00:00:00,2020-03-13,0,10.0,,36.0,8.452764,2020-03-25,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,,,≥ 5crore - < 10crore,2020-03-31,2020,2019-20
RO JEWELS LIMITED,,SME,IPO,Private,1365000,1365000,0,2020-03-12 00:00:00,2020-03-17,1.09,10.0,,36.0,4.91,2020-03-25,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,,,< 5 crore,2020-03-31,2020,2019-20
COSPOWER ENGINEERING LTD,,SME,IPO,Private,400000,400000,0,2020-03-17 00:00:00,2020-03-19,1.44,10.0,,51.0,2.04,2020-03-30,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,,,< 5 crore,2020-03-31,2020,2019-20
DJ Mediaprint & Logistics Limited,,SME,IPO,Private,1200000,1200000,0,2020-03-26 00:00:00,2020-03-31,1.7,10.0,,20.0,2.4,2020-04-13,,,,,,,,,,,,,,Western,,Printing,Maharashtra,Western,BSE,,< 5 crore,2020-04-30,2020,2020-21
DJ MEDIAPRINT & LOGISTICS LIMITED,,SME,IPO,Private,1200000,1200000,0,2020-03-26 00:00:00,2020-03-31,,10.0,,20.0,2.4,2020-04-13,,,,,,,,,,,,,,Western,,Printing,Maharashtra,Western,,,< 5 crore,2020-04-30,2020,2020-21
Laxmi Goldorna House Limited,,SME,IPO,Private,5520000,5520000,0,2020-03-20 00:00:00,2020-04-03,1.15,10.0,,15.0,8.28,2020-04-16,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,NSE,,≥ 5crore - < 10crore,2020-04-30,2020,2020-21
Nirmitee Robotics India Limited,,SME,IPO,Private,175200,175200,0,2020-03-31 00:00:00,2020-04-09,1.076,10.0,,185.0,3.24,2020-04-21,,,,,,,,,,,,,,Western,,Consumer Services,Maharashtra,Western,BSE,,< 5 crore,2020-04-30,2020,2020-21
Reliance Industries Limited**,,Main Board,Right,Private,422626894,422626894,0,2020-05-20 00:00:00,2020-06-03,0,10.0,,1257.0,53124.2,2020-06-15,,,,,,,,,,,,,,Western,,Oli & Natural Gas,Maharashtra,Western,NSE/BSE,,,2020-06-30,2020,2020-21
Billwin Industries Limited,,SME,IPO,Private,666000,666000,0,2020-06-18 00:00:00,2020-06-22,1.29,10.0,,37.0,2.46,2020-06-30,,,,,,,,,,,,,,Western,,Plastic,Maharashtra,Western,BSE,,< 5 crore,2020-06-30,2020,2020-21
Ksolves India Limited,,SME,IPO,Private,402000,402000,0,2020-06-23 00:00:00,2020-06-26,1.29,10.0,,100.0,4.02,2020-07-06,,,,,,,,,,,,,,Northern,,Info Tech,Delhi,Northern,NSE,,< 5 crore,2020-07-31,2020,2020-21
Bonlon Industries Limited,,SME,IPO,Private,3756000,3756000,0,2020-06-30 00:00:00,2020-07-03,1.29,10.0,,28.0,10.51,2020-07-13,,,,,,,,,,,,,,Northern,,Engineering,Delhi,Northern,BSE,,≥ 10crore - < 50crore,2020-07-31,2020,2020-21
Rossari Biotech Limited,,Main Board,IPO,Private,11676470,1176470,10500000,2020-07-13 00:00:00,2020-07-15,79.37,2.0,,425.0,496.25,2020-07-23,,,,,,,,,,,,,,Western,6(1),Chemical,Maharashtra,Western,NSE/BSE,,≥ 100 crore - < 500crore,2020-07-31,2020,2020-21
Yes Bank Limited,,Main Board,FPO,Private,12504433750,12504433750,0,2020-07-15 00:00:00,2020-07-17,1.01,2.0,,12.0,15000.0,2020-07-27,,,,,,,,,,,,,,Western,129(1),Banks/Fis,Maharashtra,Western,NSE/BSE,,≥ 500crore,2020-07-31,2020,2020-21
Arvind Fashions Limited,,Main Board,Right,Private,39979347,39979347,0,2020-06-29 00:00:00,2020-07-17,0,4.0,,100.0,399.79,2020-07-29,,,,,,,,,,,,,,Western,,Consumer Services,Gujarat,Western,NSE/BSE,,≥ 100 crore - < 500crore,2020-07-31,2020,2020-21
Aditya Birla Fashion and Retail Ltd**,,Main Board,Right,Private,90465693,90465693,0,2020-07-08 00:00:00,2020-07-22,0,10.0,,110.0,995.12,2020-08-03,,,,,,,,,,,,,,Western,,Textile,Maharashtra,Western,BSE/NSE,,≥ 500crore,2020-08-31,2020,2020-21
SHRIRAM TRANSPORT FINANCE CO.LTD.,,Main Board,Right,Private,26178777,26178777,0,2020-07-16 00:00:00,2020-07-30,0,10.0,,570.0,1492.19,2020-08-11,,,,,,,,,,,,,,Southern ,,Misc,Tamil Nadu,Southern,BSE/NSE,,≥ 500crore,2020-08-31,2020,2020-21
PVR LTD.,,Main Board,Right,Private,3823872,3823872,0,2020-07-17 00:00:00,2020-07-31,0,10.0,,784.0,299.79,2020-08-12,,,,,,,,,,,,,,Northern,,Entertainment,Delhi,Northern,BSE/NSE,,≥ 100 crore - < 500crore,2020-08-31,2020,2020-21
Suratwwala Business Group Limited,,SME,IPO,Private,4600000,4600000,0,2020-08-03 00:00:00,2020-08-05,1.14,10.0,,15.0,6.9,2020-08-13,,,,,,,,,,,,,,Western,,Cement/ Constructions,Maharashtra,Western,BSE,,≥ 5crore - < 10crore,2020-08-31,2020,2020-21
MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,,Main Board,Right,Private,617764960,617764960,0,2020-07-28 00:00:00,2020-08-11,0,2.0,,50.0,3088.82,2020-08-20,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,BSE/NSE,,≥ 500crore,2020-08-31,2020,2020-21
Refex Industries Limited,,Main Board,Right,Private,5526848,5526848,0,2020-07-27 00:00:00,2020-08-10,0,10.0,,45.0,24.87,2020-08-25,,,,,,,,,,,,,,Southern ,,Oil and Natural Gas,Tamil Nadu,Southern,BSE/NSE,,≥ 10crore - < 50crore,2020-08-31,2020,2020-21
GATEWAY DISTRIPARKS LTD.,,Main Board,Right,Private,16107859,16107859,0,2020-07-30 00:00:00,2020-08-13,0,10.0,,72.0,115.98,2020-08-25,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,BSE/NSE,,≥ 100 crore - < 500crore,2020-08-31,2020,2020-21
