Month,Exchange,parameter,Trading_Days,IDX_CO,IDX_FUT,IDX_PO,STK_CO,STK_FUT,STK_PO,Total_Futures,Total_Options,Total_Derivatives
30/11/2010,NSE,Turnover,21,"9,46,323.89","4,24,789.15","9,56,619.66","75,786.40","5,39,872.49","22,454.57","9,64,661.64","20,01,184.52","29,65,846.16"
31/12/2010,BSE,Contracts,22,0,435,0,0,0,0,435,0,435
31/12/2010,BSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/12/2010,BSE,Turnover,22,0,12.92,0,0,0,0,12.92,0,12.92
31/12/2010,NSE,Contracts,22,"2,45,33,340.00","1,14,06,712.00","2,61,51,091.00","20,21,545.00","1,54,09,764.00","7,19,867.00","2,68,16,476.00","5,34,25,843.00","8,02,42,319.00"
31/12/2010,NSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/12/2010,NSE,Turnover,22,"7,51,191.91","3,22,793.26","7,68,088.34","61,356.50","4,32,644.23","21,034.71","7,55,437.49","16,01,671.46","23,57,108.95"
31/01/2011,BSE,Contracts,20,0,39,0,0,0,0,39,0,39
31/01/2011,BSE,Premium Turnover,20,0,,0,0,,0,0,0,0
31/01/2011,BSE,Turnover,20,0,1.13,0,0,0,0,1.13,0,1.13
31/01/2011,NSE,Contracts,20,"3,33,93,126.00","1,40,95,425.00","3,36,45,531.00","20,35,556.00","1,48,23,064.00","7,36,053.00","2,89,18,489.00","6,98,10,266.00","9,87,28,755.00"
31/01/2011,NSE,Premium Turnover,20,0,,0,0,,0,0,0,0
31/01/2011,NSE,Turnover,20,"9,96,718.40","3,84,484.41","9,65,797.20","61,787.29","4,11,149.07","21,897.52","7,95,633.48","20,46,200.41","28,41,833.89"
28/02/2011,BSE,Contracts,20,0,"3,434.00",0,0,0,0,"3,434.00",0,"3,434.00"
28/02/2011,BSE,Premium Turnover,20,0,,0,0,,0,0,0,0
28/02/2011,BSE,Turnover,20,0,92.73,0,0,0,0,92.73,0,92.73
28/02/2011,NSE,Contracts,20,"3,79,24,368.00","1,57,34,318.00","3,66,81,957.00","20,70,078.00","1,60,48,082.00","9,06,631.00","3,17,82,400.00","7,75,83,034.00","10,93,65,434.00"
28/02/2011,NSE,Premium Turnover,20,0,,0,0,,0,0,0,0
28/02/2011,NSE,Turnover,20,"10,59,766.09","4,02,759.05","9,84,587.28","56,954.54","4,01,306.50","23,921.16","8,04,065.56","21,25,229.07","29,29,294.63"
31/03/2011,BSE,Contracts,22,0,917,0,0,0,0,917,0,917
31/03/2011,BSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/03/2011,BSE,Turnover,22,0,25.35,0,0,0,0,25.35,0,25.35
31/03/2011,NSE,Contracts,22,"3,54,30,135.00","1,53,33,341.00","3,80,43,240.00","17,41,344.00","1,41,89,337.00","7,10,229.00","2,95,22,678.00","7,59,24,948.00","10,54,47,626.00"
31/03/2011,NSE,Premium Turnover,22,0,,0,0,,0,0,0,0
