Month,Sub_Category,No_scheme,No_Folios,Funds_Mobilised_YTD,Redemptions_YTD,Net_Inflow_YTD,Net_AUM,Average_AUM,No_Folios_segregated,AUM_segregated_folio
31-01-2022,Growth/Equity Oriented Schemes,404.00,"8,27,30,395.00","3,20,849.47","2,14,652.50","1,06,196.97","13,47,204.72","13,66,637.43",0.00,0.00
31-01-2022,Hybrid Schemes,137.00,"1,12,54,147.00","2,32,914.13","1,37,267.22","95,646.89","4,78,852.58","4,95,693.42",6.00,35.14
31-01-2022,Income/Debt Oriented Schemes,627.00,"77,48,428.00","68,50,888.81","68,71,861.63","-,20,972.79","14,64,886.18","15,13,588.11",18.00,632.73
31-01-2022,Interval Schemes,21.00,"3,099.00",368.41,27.33,341.09,470.48,482.13,0.00,0.00
31-01-2022,Other Schemes,237.00,"1,58,02,915.00","1,59,851.07","56,942.99","1,02,908.09","4,80,223.35","4,82,272.78",0.00,0.00
31-01-2022,Solution Oriented  Schemes,35.00,"55,62,689.00","2,806.14","1,847.24",958.90,"29,572.32","29,896.89",0.00,0.00
31-03-2022,Growth/Equity Oriented Schemes,401.00,"8,63,55,947.00","4,01,034.75","2,46,940.48","1,54,094.25","13,73,728.50","13,23,940.21",0.00,0.00
31-03-2022,Hybrid Schemes,135.00,"1,14,50,510.00","2,66,566.86","1,71,346.59","95,220.28","4,79,918.10","4,90,024.61",5.00,35.14
31-03-2022,Income/Debt Oriented Schemes,630.00,"76,08,846.00","84,30,400.40","85,73,470.54","-1,43,070.16","13,51,024.46","14,30,575.45",10.00,246.63
31-03-2022,Interval Schemes,21.00,"3,050.00",557.43,170.98,386.45,546.54,552.56,0.00,0.00
31-03-2022,Other Schemes,273.00,"1,85,07,554.00","2,15,545.19","76,711.00","1,38,834.20","5,21,928.22","4,96,339.97",0.00,0.00
31-03-2022,Solution Oriented  Schemes,35.00,"55,78,745.00","3,399.93","2,135.39","1,264.54","29,536.77","28,863.04",0.00,0.00
30-04-2022,Growth/Equity Oriented Schemes,401.00,"8,76,40,950.00","32,616.76","16,968.95","15,647.82","13,74,149.88","13,93,707.13",0.00,0.00
30-04-2022,Hybrid Schemes,135.00,"1,15,19,501.00","19,222.25","11,982.09","7,240.14","4,85,000.86","5,03,557.09",5.00,35.14
30-04-2022,Income/Debt Oriented Schemes,512.00,"75,00,096.00","7,43,606.46","7,09,508.19","34,098.25","13,86,938.23","14,33,113.68",10.00,246.67
30-04-2022,Interval Schemes,21.00,"3,000.00",0.00,139.33,"-,139.33",408.62,424.50,0.00,0.00
30-04-2022,Other Schemes,275.00,"1,90,46,583.00","21,336.76","5,449.01","15,887.77","5,27,823.69","5,28,437.97",0.00,0.00
30-04-2022,Solution Oriented  Schemes,35.00,"55,84,411.00",262.00,150.06,111.94,"29,361.92","29,719.70",0.00,0.00
31-05-2022,Growth/Equity Oriented Schemes,399.00,"8,89,38,502.00","64,236.00","30,919.46","33,316.54","13,38,241.42","13,09,841.39",0.00,0.00
31-05-2022,Hybrid Schemes,135.00,"1,16,26,204.00","36,705.24","24,341.78","12,363.46","4,82,757.03","4,94,631.40",5.00,35.14
31-05-2022,Income/Debt Oriented Schemes,451.00,"73,99,793.00","15,15,957.00","15,25,154.36","-9,197.35","13,42,708.25","13,88,738.03",10.00,246.77
31-05-2022,Interval Schemes,12.00,"2,990.00",659.51,216.43,443.07,991.17,565.82,0.00,0.00
31-05-2022,Other Schemes,275.00,"1,97,91,232.00","40,711.35","12,594.61","28,116.74","5,28,414.39","5,14,864.12",0.00,0.00
31-05-2022,Solution Oriented  Schemes,35.00,"55,89,993.00",550.72,278.94,271.78,"28,897.80","28,446.54",0.00,0.00
19-06-2022,Growth/Equity Oriented Schemes,399.00,"8,98,84,867.00","91,773.06","42,976.13","48,796.93","12,92,389.47","12,94,231.79",0.00,0.00
19-06-2022,Hybrid Schemes,135.00,"1,17,20,652.00","49,749.78","39,665.79","10,083.98","4,70,754.20","4,90,783.86",5.00,35.14
19-06-2022,Income/Debt Oriented Schemes,425.00,"73,64,926.00","23,83,216.86","24,88,646.80","-1,05,429.96","12,50,684.69","13,66,321.99",10.00,246.84
19-06-2022,Interval Schemes,12.00,"2,979.00",759.02,384.22,374.80,928.73,940.96,0.00,0.00
19-06-2022,Other Schemes,275.00,"2,00,92,852.00","58,195.75","16,969.39","41,226.37","5,21,105.87","5,17,802.37",0.00,0.00
19-06-2022,Solution Oriented  Schemes,35.00,"55,95,542.00",808.10,398.11,409.99,"28,227.05","28,245.67",0.00,0.00
31-07-2022,Growth/Equity Oriented Schemes,398.00,"9,06,40,746.00","1,14,427.10","56,747.50","57,679.58","14,22,445.52","13,58,874.52",0.00,0.00
31-07-2022,Hybrid Schemes,134.00,"1,17,88,414.00","59,290.69","54,353.01","4,937.70","4,85,607.47","4,95,902.67",5.00,35.14
31-07-2022,Income/Debt Oriented Schemes,423.00,"73,52,276.00","31,61,921.66","32,61,822.72","-,99,901.07","12,63,773.25","13,50,252.36",10.00,246.94
31-07-2022,Interval Schemes,12.00,"2,964.00",816.03,482.99,333.04,890.51,933.89,0.00,0.00
31-07-2022,Other Schemes,278.00,"2,01,89,352.00","77,561.90","22,064.96","55,496.94","5,71,919.25","5,41,732.68",0.00,0.00
31-07-2022,Solution Oriented  Schemes,35.00,"55,99,901.00","1,051.47",531.37,520.10,"30,166.78","29,214.85",0.00,0.00
