Month,Parameter,Private,Public,Upload_Date,rank
30-11-2022,No of Issues,20.00,,22-07-2024,1.00
31-12-2022,Amount of Issue Size,"5,235.18",,22-07-2024,1.00
31-12-2022,No of Issues,21.00,,22-07-2024,1.00
31-01-2023,Amount of Issue Size,"1,121.83",,22-07-2024,1.00
31-01-2023,No of Issues,21.00,,22-07-2024,1.00
28-02-2023,Amount of Issue Size,570.02,,22-07-2024,1.00
28-02-2023,No of Issues,17.00,,22-07-2024,1.00
31-03-2023,Amount of Issue Size,"3,065.06",,22-07-2024,1.00
31-03-2023,No of Issues,37.00,,22-07-2024,1.00
30-04-2023,Amount of Issue Size,"1,981.30",,22-07-2024,1.00
30-04-2023,No of Issues,14.00,,22-07-2024,1.00
31-05-2023,Amount of Issue Size,"7,273.55",,22-07-2024,1.00
31-05-2023,No of Issues,14.00,,22-07-2024,1.00
30-06-2023,Amount of Issue Size,"1,562.44",,22-07-2024,1.00
30-06-2023,No of Issues,27.00,,22-07-2024,1.00
31-07-2023,Amount of Issue Size,"5,366.97",,22-07-2024,1.00
31-07-2023,No of Issues,30.00,,22-07-2024,1.00
31-08-2023,Amount of Issue Size,"6,466.67",,22-07-2024,1.00
31-08-2023,No of Issues,31.00,,22-07-2024,1.00
30-09-2023,Amount of Issue Size,"9,564.91",,22-07-2024,1.00
30-09-2023,No of Issues,35.00,,22-07-2024,1.00
31-10-2023,Amount of Issue Size,"5,558.12",,22-07-2024,1.00
31-10-2023,No of Issues,35.00,,22-07-2024,1.00
30-11-2023,Amount of Issue Size,"10,903.81","2,639.41",22-07-2024,1.00
30-11-2023,No of Issues,28.00,2.00,22-07-2024,1.00
31-12-2023,Amount of Issue Size,"9,571.78",,22-07-2024,1.00
31-12-2023,No of Issues,33.00,,22-07-2024,1.00
31-01-2024,Amount of Issue Size,"4,252.30",,22-07-2024,1.00
31-01-2024,No of Issues,26.00,,22-07-2024,1.00
29-02-2024,Amount of Issue Size,"15,642.69",,22-07-2024,1.00
29-02-2024,No of Issues,35.00,,22-07-2024,1.00
31-03-2024,Amount of Issue Size,"4,276.77",,22-07-2024,1.00
31-03-2024,No of Issues,36.00,,22-07-2024,1.00
30-04-2024,Amount of Issue Size,"25,376.87",,22-07-2024,1.00
30-04-2024,No of Issues,36.00,,22-07-2024,1.00
